release_year,genre,track_count
2003,folk,32
2004,latin,504
2004,indian,378
2004,pop/standards,159
2004,rock,68
2004,folk,56
2004,country,52
2004,soul/r&b,51
2004,classical,49
2004,jazz,32
2005,latin,417
2005,indian,264
2005,rock,144
2005,pop/standards,130
2005,classical,76
2005,country,61
2005,soul/r&b,55
2005,jazz,54
2005,blues,50
2005,folk,29
2006,latin,499
2006,indian,257
2006,rock,107
2006,pop/standards,94
2006,classical,69
2006,soul/r&b,36
2006,country,34
2006,folk,32
2006,jazz,23
2006,blues,12
2007,latin,449
2007,indian,224
2007,pop/standards,128
2007,classical,116
2007,rock,67
2007,soul/r&b,43
2007,folk,33
2007,jazz,28
2007,country,27
2008,latin,477
2008,pop/standards,387
2008,indian,222
2008,folk,128
2008,country,52
2008,classical,39
2008,jazz,37
2008,rock,33
2008,soul/r&b,26
2009,latin,383
2009,indian,267
2009,pop/standards,124
2009,rock,64
2009,soul/r&b,43
2009,country,23
2009,classical,20
2009,folk,17
2009,jazz,17
2010,latin,379
2010,indian,254
2010,rock,158
2010,blues,86
2010,pop/standards,62
2010,classical,50
2010,jazz,26
2010,folk,23
2010,soul/r&b,22
2010,country,17
2011,latin,373
2011,indian,249
2011,rock,161
2011,country,140
2011,pop/standards,129
2011,folk,43
2011,blues,26
2011,classical,26
2011,soul/r&b,26
2011,jazz,23
2012,latin,359
2012,indian,265
2012,rock,200
2012,classical,87
2012,blues,75
2012,pop/standards,48
2012,country,20
2012,folk,17
2012,soul/r&b,12
2013,latin,322
2013,indian,303
2013,pop/standards,105
2013,rock,60
2013,classical,49
2013,country,23
2013,blues,16
2014,latin,524
2014,indian,253
2014,pop/standards,104
2014,classical,65
2014,rock,65
2014,jazz,56
2014,blues,31
2014,country,29
2014,soul/r&b,17
2015,latin,443
2015,pop/standards,291
2015,indian,245
2015,rock,60
2015,classical,57
2015,jazz,21
2015,soul/r&b,19
2015,country,18
2016,latin,284
2016,indian,269
2016,rock,93
2016,pop/standards,72
2016,classical,62
2016,jazz,19
2016,country,16
2016,soul/r&b,14
2017,latin,194
2017,indian,187
2017,pop/standards,65
2017,classical,56
2017,rock,17
2017,folk,16
2018,indian,220
2018,latin,185
2018,classical,48
2018,pop/standards,47
2018,rock,28
2018,soul/r&b,18
2018,blues,11
2019,indian,276
2019,rock,169
2019,latin,131
2019,classical,23
2019,pop/standards,18
2020,indian,273
2020,pop/standards,116
2020,latin,107
2020,classical,22
2020,folk,19
2020,country,18
2020,rock,14
2020,soul/r&b,13
